ZAINUDIN BIN RAFIE,499.23 ZAI,ALAF 21,-,-,128,9789831244685,-,-,-,-,-
KAREN KWEK,741.6 KAR,PTS PUBLICATION,-,-,80,9789674819439,-,-,-,-,-
KEMENTERIAN PENDIDIKAN MALAYSIA,499.28 KEM,BAHAGIAN PENDIDIKAN ISLAM,-,-,247,9789833052158,-,-,-,-,-
ABD TALIB HASSAN,899.233 SAB,CREATIVE ENTERPRISE,-,-,143,9789838524292,-,-,-,-,-
MOHD AIZAINI MAAROF,600 MOH,UNIVERSITI TEKNOLOGI MALAYSIA,-,-,312,9789835201325,-,-,-,-,-
MOKHTAR AHMAD,001.640 MOK,THINKERS LIBRARY,-,-,50,9789676903495,-,-,-,-,-
SALEH AHMAD,499 SAL,SASBADI,-,-,170,9789835981265,-,-,-,-,-
DR MOHD AZAM AHMAD,499.28 DR,SASBADI,-,-,193,9789835998423,-,-,-,-,-
ZAMRI MAHMAD,499 ZAM,PELANGI,-,-,204,9789835037771,-,-,-,-,-
HASLINA HALIM,302.2 HAS,DEWAN BAHASA DAN PUSTAKA,MALAYSIA,2018,423,9789834915735,-,-,-,-,-
MOHD AIZAINI MAAROF,004 MOH,UNIVERSITI TEKNOLOGI MALAYSIA,-,-,260,9789835202988,-,-,-,-,-
ABDULLAH HASSAN,499.28 ABD,UTUSAN PUBLICATIONS,-,-,284,9789676109217,-,-,-,-,-
ABDULLAH HASSAN,370.15 ABD,UTUSAN PUBLICATIONS,-,-,283,9789676109217,-,-,-,-,-
NOOR AZILAWATI MOHD SABDA,320 NOO,PCT,-,-,44,9789833577385,-,-,-,-,-
AFZAN AYUB,303 AFZ,PUSTAKA MINDA AKTIF,-,-,44,9789675161667,-,-,-,-,-
RAZAK IBRAHIM,324.2 RAZ,CEMERLANG,-,-,44,9799833242145,-,-,-,-,-
HARUN YAHYA,297.1 HAR,JAHABERSA,-,-,282,9789831706145,-,-,-,-,-
JABATAN KEMAJUAN ISLAM MAALAYSIA,297.1 JAB,JABATAN KEMAJUAN ISLAM MALAYSIA,-,-,39,9789830422251,-,-,-,-,-
ZURINAH OTHMAN,499.23 ZUR,IDEA KREATIF,-,-,60,9789833628247,-,-,-,-,-
MOHD IDHAM ALIFF,499.23 MOH,PINANG SDN BHD,-,-,54,9789830555003,-,-,-,-,-
FATIMAH SAIDIN,899.233 FAT,DEWAN BAHASA DAN PUSAKA,MALAYSIA,1995,375,9789836249050,-,-,-,-,-
FATIMAH SAIDIN,899.233 FAT,DEWA BAHASA DAN PUSTAKA,MALAYSIA,2015,366,9789834902001,-,-,-,-,-
MOKHTAR AHMAD,001.640 MOK,THINKERS LIBRARY,-,-,48,9789676903488,-,-,-,-,-
MOKHTAR AHMAD,899.233 MOK,THINKERS LIBRARY,-,-,48,9789676903488,-,-,-,-,-
DR MOHD AZAM AHMAD,499 DR,SASBADI,-,-,193,9789835982927,-,-,-,-,-
MOHD GHAZALI TOCHEH,899.233 MOH,UTUSAN PUBLICATIONS,-,-,204,-,-,-,-,-,-
MOHD. GHAZALI TOCHEH,899.233 MOH,UTUSAN PUBLICATION & DISTIBUTORS SDN.BHD,-,1995,203,-,-,-,-,-,-
MALIK BENNABI,297 MAL,KARISMA,-,-,140,9789831951149,-,-,-,-,-
KHAIRUL NIZAM KHAIRANI,899.233 KHA,PENERBIT X,-,2023,134,9789673696604,-,-,-,-,-
OTHMAN RASUL,428 OTH,PUSTAKA BUANA,-,-,28,9789833449033,-,-,-,-,-
